2022-01-27 20:41:58,082 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: libjpa:libjpa:0.0.1-SNAPSHOT @ C:\libreria\libjpa\pom.xml.
2022-01-27 20:41:59,622 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:41:59,632 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:41:59,652 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:41:59,652 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:41:59,662 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /libjpa/src
2022-01-27 20:41:59,662 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /libjpa/src overlaps with sources folder /libjpa/src
2022-01-27 20:41:59,662 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /libjpa/src/test/java because it overlaps with /libjpa/src
2022-01-27 20:42:00,086 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-01-27 20:42:01,656 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: libjpa:libjpa:0.0.1-SNAPSHOT @ C:\libreria\libjpa\pom.xml.
2022-01-27 20:42:03,003 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:42:03,019 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:42:03,035 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:42:03,035 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:42:03,066 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /libjpa/src
2022-01-27 20:42:03,066 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /libjpa/src overlaps with sources folder /libjpa/src
2022-01-27 20:42:03,119 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /libjpa/src/test/java because it overlaps with /libjpa/src
2022-01-27 20:42:03,448 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2022-01-27 20:42:04,455 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:42:04,455 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:42:04,473 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:42:04,473 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:45:24,319 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: libjpa:libjpa:0.0.1-SNAPSHOT @ C:\libreria\libjpa\pom.xml.
2022-01-27 20:45:25,162 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:45:25,178 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-27 20:45:25,178 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:45:25,178 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:45:26,830 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:45:26,841 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:45:26,851 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:45:26,851 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
